"descrip","elapsed.time","n","mean.man","se.man","sd.man","mean.grav","se.grav","sd.grav"
"C",0,3,0,0,0,0,0,0
"C",0.840277777777778,3,64.5889940051181,0.839475926663019,1.45401495671131,63.1750996472371,0.810229768721463,1.40335912523035
"C",1.84375,3,164.087078710542,2.81178804233133,4.87015974943249,170.557607189987,0.921927309805709,1.59682494146878
"C",2.85069444444444,3,275.543249990358,5.51926073681354,9.55964001638109,287.978310887322,1.30735761311361,2.26440980957475
"C",3.80902777777778,3,341.355672544233,8.89603614572101,15.408386590358,354.653354339034,1.21630285682302,2.10669834540864
"C",4.86111111111111,3,380.324517399989,9.24125937561163,16.0063307644816,393.293394003649,0.650821526387639,1.12725595036292
"C",5.85902777777778,3,404.084605908295,9.66522483601641,16.740660482557,417.626011006098,1.04559783304969,1.81102857112598
"C",6.83958333333333,3,420.205311122573,10.0606107089875,17.4254889031379,436.560280504534,2.96865191193692,5.14185594146124
"C",8.91666666666667,3,439.597693241082,10.7594509574108,18.6359157197811,455.131091414239,2.83767003663051,4.91498867855988
"C",10.8784722222222,3,452.077273902157,11.1944153268292,19.3892961070959,467.751480483395,2.41482619432457,4.18260166001836
"C",13.125,3,461.544404509105,11.8038710489749,20.4449043828158,478.342834729789,2.76100301666938,4.78219750472231
"C",15.8541666666667,3,468.867841111982,12.1844198436768,21.1040342299987,485.901230740425,2.69984744291594,4.67627294381532
"C",18.9097222222222,3,475.046602892151,12.7532145407847,22.0892155444653,491.173716132464,2.75875754884446,4.77830824036278
"C",22.8611111111111,3,481.409356160266,13.2887309199379,23.0167571214439,497.597885929052,3.3413382702727,5.78736764938663
"C",27.1458333333333,3,485.997486899276,13.7392667537067,23.797108076162,502.66818319459,3.62732589231249,6.28271274109534
"L",0,3,0,0,0,0,0,0
"L",0.840277777777778,3,1.134110484657,0.340525658178917,0.589807741246716,0.849495388152334,0.293849907344713,0.508962969320449
"L",1.84375,3,16.9480147460676,0.646971128622202,1.12058686580383,17.0022648839862,0.301842949522743,0.522807324479839
"L",2.85069444444444,3,95.1152718233237,1.83863478030017,3.18460885604314,105.171522967854,1.15538010563099,2.00117704500717
"L",3.80902777777778,3,178.638496233827,2.92102963253277,5.05937173396101,201.741779250183,1.91021717424557,3.30859319928398
"L",4.86111111111111,3,231.661799025245,3.28090021539507,5.68268586762794,261.988743050162,1.84821354528786,3.20119976367558
"L",5.85902777777778,3,257.616745997437,3.53723059629905,6.12666311087712,290.837117603731,1.7304849746109,2.99728789776062
"L",6.83958333333333,3,273.219136357196,3.88125007389072,6.72252232485918,309.707175091433,3.08446530373329,5.34245062024942
"L",8.91666666666667,3,292.126855967284,4.39706406105184,7.61593835787693,330.725091291934,2.92961615654515,5.07424402981085
"L",10.8784722222222,3,302.27091382576,4.55887542735069,7.89620386554868,342.724352818117,3.15794394381282,5.46971935813824
"L",13.125,3,308.561968497452,4.64925034381218,8.05273781258977,350.067286339811,3.63792131882765,6.30106455814747
"L",15.8541666666667,3,313.2698817577,5.19244011246911,8.99357009005515,355.249245502116,3.90908696592685,6.77073723619056
"L",18.9097222222222,3,316.395436413697,5.61335905040562,9.72262307642911,358.330192191995,4.02389555424249,6.96959154429852
"L",22.8611111111111,3,319.837455766432,6.18095661278836,10.7057308927283,362.156370960816,4.42989220619666,7.67279837318599
"L",27.1458333333333,3,324.045598318585,6.56151205194484,11.364872248444,368.401101327925,5.01695208221714,8.68961590553855
