"method","descrip","elapsed.time","mean","se","sd","n","rsd"
"vol","Cellulose",0,0,0,0,3,NA
"vol","Cellulose",0.874305555555556,0.086693221330189,0.798952391080799,1.38382613418058,3,1596.23337666736
"vol","Cellulose",2.01388888888889,13.3455855583615,2.89639095483267,5.01669629235312,3,37.5906794828494
"vol","Cellulose",2.85,60.3089608533692,4.93906787063036,8.55471649396281,3,14.1848182640091
"vol","Cellulose",4.15138888888889,153.793950891839,8.81518707032932,15.2683518840346,3,9.92779741693001
"vol","Cellulose",5.14513888888889,239.446300691534,13.0944228221215,22.6802056237039,3,9.47193820000652
"vol","Cellulose",5.93194444444444,285.668465337579,13.5178776565286,23.4136509116076,3,8.19609223718107
"vol","Cellulose",9.11111111111111,338.822491855301,21.0998433372257,36.5460006918186,3,10.7861790673053
"vol","Cellulose",20.9194444444444,356.738245519567,34.334480808844,59.4690652124164,3,16.6702241655652
"vol","Cellulose",60.9166666666667,359.934694702643,51.2801586567569,88.819840213696,3,24.6766542711516
"vol","Ethanol",0,0,0,0,3,NA
"vol","Ethanol",0.874305555555556,39.1610130567297,1.02373975524566,1.77316926981361,3,4.5278942790498
"vol","Ethanol",2.01388888888889,94.8392671814546,7.06591348994022,12.2385211664628,3,12.904487276401
"vol","Ethanol",2.85,159.791796632934,9.3158782221901,16.1355743979577,3,10.0978740698583
"vol","Ethanol",4.15138888888889,341.074440571182,8.78194625899977,15.210777109927,3,4.45966490026465
"vol","Ethanol",5.14513888888889,536.303756197304,8.39102669537772,14.533684564061,3,2.70997254748186
"vol","Ethanol",5.93194444444444,653.820348355702,11.002859531328,19.0575117368036,3,2.91479330441939
"vol","Ethanol",9.11111111111111,698.588954766362,13.7727465832272,23.8550968419201,3,3.41475436723707
"vol","Ethanol",20.9194444444444,708.978457367329,11.940568805001,20.6816718415338,3,2.91710864083679
"vol","Ethanol",60.9166666666667,711.276402130298,32.092319528776,55.5855279565749,3,7.81489837004212
"vol","Preheated sludge",0,0,0,0,3,NA
"vol","Preheated sludge",0.874305555555556,20.4404065985468,0.169025062071239,0.29275999525987,3,1.43226111402639
"vol","Preheated sludge",2.01388888888889,49.1398779731293,0.656284716104851,1.13671847252452,3,2.31323014913895
"vol","Preheated sludge",2.85,75.1324680502582,1.31143965415964,2.27148011206505,3,3.02330027351903
"vol","Preheated sludge",4.15138888888889,123.917407847642,2.92500245858165,5.0662528705273,3,4.08841094929641
"vol","Preheated sludge",5.14513888888889,168.85444097898,3.68580432854632,6.38400036379951,3,3.7807713713578
"vol","Preheated sludge",5.93194444444444,200.696416290416,3.90830162996771,6.76937699440833,3,3.37294363274169
"vol","Preheated sludge",7.13194444444444,220.836933555001,1.57019208707675,2.71965247245954,3,1.23152066489919
"vol","Preheated sludge",9.11111111111111,239.255181639271,2.395115559347,4.14846183878776,3,1.7339067895476
"vol","Preheated sludge",15.2194444444444,264.473290481907,3.21111245324896,5.56180991784434,3,2.10297603501282
"vol","Preheated sludge",20.9194444444444,280.645437462359,3.43056849928915,5.94191893961412,3,2.11723340074291
"vol","Preheated sludge",30.96875,296.680226224855,6.13891863753299,10.6329189837387,3,3.58396618441295
"vol","Preheated sludge",50.8645833333333,313.802677045192,8.91825991419955,15.4468792864985,3,4.92248167923497
"vol","Preheated sludge",60.9166666666667,321.734518785792,9.82552804334471,17.0183137822659,3,5.28955172310762
"vol","Raw sludge",0,0,0,0,3,NA
"vol","Raw sludge",0.874305555555556,18.1470749096353,0.110764863355204,0.191850371024637,3,1.05719721762306
"vol","Raw sludge",2.01388888888889,47.4015232192842,0.470621676876357,0.815140655493113,3,1.71965076253392
"vol","Raw sludge",2.85,73.736040812883,0.591174409423454,1.02394411325595,3,1.38866163950187
"vol","Raw sludge",4.15138888888889,122.45720961447,0.841265435708714,1.45711447729906,3,1.18989684795732
"vol","Raw sludge",5.14513888888889,166.7419315794,0.965622513181683,1.67250725376302,3,1.00305138480814
"vol","Raw sludge",5.93194444444444,188.121446423757,1.47392553383513,2.55291391117552,3,1.35705628449449
"vol","Raw sludge",7.13194444444444,203.830717246555,1.84148610088149,3.18954748815864,3,1.56480217076436
"vol","Raw sludge",9.11111111111111,221.325919520769,2.63459487061238,4.56325217326099,3,2.06177938089749
"vol","Raw sludge",15.2194444444444,245.047017853373,5.06903623644404,8.7798283069288,3,3.58291579462612
"vol","Raw sludge",20.9194444444444,262.01243592909,6.57879366349291,11.3948048776819,3,4.34895574222506
"vol","Raw sludge",30.96875,274.978069454442,9.90814561191549,17.1614116086283,3,6.24101101687004
"vol","Raw sludge",50.8645833333333,285.030443784052,16.0407100239392,27.7833247509421,3,9.74749377017131
"vol","Raw sludge",60.9166666666667,293.413432024862,17.0290071862508,29.495105649042,3,10.0524047060473
"vol","Sludge C1",0,0,0,0,3,NA
"vol","Sludge C1",0.874305555555556,17.4092373880994,0.525725176831157,0.910582717089697,3,5.23045723824842
"vol","Sludge C1",2.01388888888889,45.4292297414056,1.32444408462488,2.29400444635434,3,5.04962214726594
"vol","Sludge C1",2.85,67.179882932766,1.91078150463076,3.30957064818338,3,4.92643110363204
"vol","Sludge C1",4.15138888888889,111.724601501923,3.67484252569182,6.36501396431296,3,5.6970567616689
"vol","Sludge C1",5.14513888888889,156.51352341863,3.85305258325504,6.67368283843225,3,4.26396562588525
"vol","Sludge C1",5.93194444444444,193.984787490134,5.53829621973224,9.59261043994288,3,4.94503232137766
"vol","Sludge C1",7.13194444444444,242.673278851454,8.08857108975695,14.0098160880918,3,5.77311855446085
