"method","descrip","elapsed.time","mean","se","sd","n","leak.l","rsd","lwr","upr"
"gd1","C",27,510.128514941029,5.46384622426906,9.46365926517739,3,FALSE,1.85515198386261,500.664855675852,519.592174206206
"gd1","L",27,364.719421073999,3.43720798774985,5.95341887096433,3,FALSE,1.63232844947854,358.766002203035,370.672839944963
"gd2","C",27,478.335093537921,5.23815892960326,9.07275740419345,3,FALSE,1.89673672844875,469.262336133728,487.407850942114
"gd2","L",27,386.950074350025,5.96677680205448,10.3347605785817,3,FALSE,2.67082532441463,376.615313771443,397.284834928607
"gd3","C",27,510.065992449587,5.48183785548047,9.4948216845466,3,FALSE,1.86148887106702,500.57117076504,519.560814134134
"gd3","L",27,364.697692614021,3.45124845118771,5.97773766700052,3,FALSE,1.63909390930177,358.71995494702,370.675430281021
"gd5","C",27,480.636243581929,4.89009983736428,8.46990137239923,3,FALSE,1.76222694095591,472.16634220953,489.106144954328
"gd5","L",27,393.113361155577,4.32567741167257,7.49229305416992,3,FALSE,1.90588613730806,385.621068101407,400.605654209747
"gd8","C",27,488.835498606399,5.26179319114947,9.11369314599085,3,FALSE,1.86436810992097,479.721805460408,497.94919175239
"gd8","L",27,378.708445999184,5.00071643848488,8.66149494570069,3,FALSE,2.28711427938931,370.046951053483,387.369940944885
"grav","C",27,502.495612299005,3.61708210782783,6.26496998590613,3,FALSE,1.24677108268524,496.230642313099,508.760582284911
"grav","L",27,368.188557830827,4.99399435928715,8.64985196299772,3,FALSE,2.34929950402535,359.538705867829,376.838409793825
