"method","descrip","elapsed.time","mean","se","sd","n","leak.l","rsd","lwr","upr"
"gd01","C",27.1458333,503.500653846157,5.43363191834221,9.41132655219666,3,FALSE,1.86917861581809,494.08932729396,512.911980398354
"gd01","L",27.1458333,358.694813006422,3.41285863668118,5.91124455778206,3,FALSE,1.64798718672194,352.78356844864,364.606057564204
"gd02","C",27.1458333,503.500653846157,5.4336319183423,9.41132655219681,3,FALSE,1.86917861581813,494.08932729396,512.911980398354
"gd02","L",27.1458333,358.694813006422,3.41285863668113,5.91124455778197,3,FALSE,1.64798718672191,352.78356844864,364.606057564204
"gd03","C",27.1458333,503.500653831941,5.4336319224282,9.41132655927379,3,FALSE,1.86917861727646,494.089327272667,512.911980391215
"gd03","L",27.1458333,358.694813001482,3.41285863986143,5.9112445632904,3,FALSE,1.6479871882803,352.783568438192,364.606057564772
"gd04","C",27.1458333,505.387464473775,4.24939753853651,7.36017243830336,3,FALSE,1.45634250069242,498.027292035472,512.747636912078
"gd04","L",27.1458333,360.421019388093,2.16787278742202,3.7548658121609,3,FALSE,1.04179989794595,356.666153575932,364.175885200254
"gd05","C",27.1458333,505.095808610288,4.22510063665059,7.31808896977043,3,FALSE,1.44885165250238,497.777719640518,512.413897580058
"gd05","L",27.1458333,360.292914380717,1.86576000801149,3.23159112860601,3,FALSE,0.896934410758693,357.061323252111,363.524505509323
"gd06","C",27.1458333,503.500653831941,5.4336319224282,9.41132655927379,3,FALSE,1.86917861727646,494.089327272667,512.911980391215
"gd06","L",27.1458333,358.694813001482,3.41285863986143,5.9112445632904,3,FALSE,1.6479871882803,352.783568438192,364.606057564772
"gd07","C",27.1458333,502.136374086822,5.41890900986287,9.38582572667524,3,FALSE,1.8691786158181,492.750548360147,511.522199813497
"gd07","L",27.1458333,357.722897539332,3.40361119296105,5.89522751541866,3,FALSE,1.64798718672194,351.827670023913,363.618125054751
"gd08","C",27.1458333,502.136374086822,5.41890900986289,9.38582572667529,3,FALSE,1.86917861581811,492.750548360147,511.522199813497
"gd08","L",27.1458333,357.722897539332,3.403611192961,5.89522751541857,3,FALSE,1.64798718672192,351.827670023913,363.618125054751
"gd09","C",27.1458333,502.136374077858,5.41890901249936,9.38582573124178,3,FALSE,1.86917861676089,492.750548346616,511.5221998091
"gd09","L",27.1458333,357.722897535994,3.40361119510635,5.89522751913443,3,FALSE,1.64798718777605,351.82767001686,363.618125055128
"gd10","C",27.1458333,502.927965985506,4.58543883737899,7.94221304133997,3,FALSE,1.57919495007141,494.985752944166,510.870179026846
"gd10","L",27.1458333,358.940010272506,2.03749623550147,3.52904700011886,3,FALSE,0.983185741104655,355.410963272387,362.469057272625
"gd11","C",27.1458333,502.927965985506,4.58543883737902,7.94221304134002,3,FALSE,1.57919495007142,494.985752944166,510.870179026846
"gd11","L",27.1458333,358.940010272506,2.03749623550138,3.52904700011872,3,FALSE,0.983185741104615,355.410963272387,362.469057272625
"gd12","C",27.1458333,502.927965978422,4.58543883974437,7.94221304543693,3,FALSE,1.57919495090828,494.985752932985,510.870179023859
"gd12","L",27.1458333,358.940010270794,2.03749623602714,3.52904700102935,3,FALSE,0.983185741363004,355.410963269765,362.469057271823
"grav","C",27.1458333,502.668183155145,3.62732588996727,6.2827127370333,3,FALSE,1.24987276847283,496.385470418112,508.950895892178
"grav","L",27.1458333,368.401101279344,5.01695207694874,8.68961589641342,3,FALSE,2.35873776333378,359.711485382931,377.090717175757
